"METHOTREXATE"	"BLEBBISTATIN"	"CAMPTOTHECIN"	"DOXORUBICIN HYDROCHLORIDE"	"CYCLOHEXIMIDE"	"ACLACINOMYCIN A"	"ETOPOSIDE"	"GELDANAMYCIN"	"MITOMYCIN C"	"RAPAMYCIN"	"TRICHOSTATIN A"	"VINCRISTINE"	"MONASTROL"	"H-7, DIHYDROCHLORIDE"
"1719"	0.646171714537487	0.0017611346750273	0.0159245266993134	0.0842231324877775	0.0300548101714147	0.00440242592257158	0.0590475963686515	0.009548374898834	0.0177809810180504	0.0421654691177209	0.0582294264915709	0.0113113748267886	0.000184824986856942	0.000223722802569732
"5226"	0.148631375070527	0.000655789035870448	0.0139393418975305	0.0456842691076626	0.032272027010967	0.00538780988229029	0.0306101840179262	0.00799215591437407	0.0144504342909114	0.0247515061338883	0.0173587375392802	0.00552258915264497	0.000193231238768732	0.000128262106353953
"1432"	0.308543152294365	0.0129830878736601	0.091892021899975	0.552791034027519	0.444409514482433	0.0146190555017768	0.460673480292315	0.0916315347304424	0.361936085843678	0.174725173374709	0.0768187498790092	0.00961688885350928	0.000376183449016453	0.00149251337441759
"3565"	0.0861284340715315	0.00485349534480519	0.0415728522520206	0.171924602919786	0.130809870230393	0.0124897038526126	0.177912024430184	0.042148755467616	0.0314495493300878	0.13136321304787	0.0468308012875744	0.0232651147252373	0.000234977632029533	0.00158518716583881
"471"	0.240410475966354	0.00430941725612361	0.0113985940118358	0.0561821235947428	0.0388360825434532	0.00140766656278838	0.0393110260746783	0.0117270590163466	0.020095946209147	0.318226216704088	0.0130307668924448	0.0052439798475207	0.000292370112921382	0.000280134099056036
"9429"	0.213287995249871	0.00877963864892771	0.174678426623821	0.420734345738805	0.145844070726552	0.0321812301867971	0.347638682894662	0.0547425253479873	0.0893489323306969	0.178113546258703	0.0800456237295181	0.157899164350021	0.000537093457211637	0.00128893244177342
"89845"	0.0822505796746788	0.00304342368715852	0.0400261842121526	0.246608347639595	0.0550352215740388	0.0164094703410948	0.176208240533836	0.0183047821420797	0.0317016880679715	0.0696063012382212	0.15390872182865	0.0646961724716357	0.00102989162929211	0.000664309176306735
"1401"	0.121806644845691	0.00538688887341218	0.036082607278128	0.148486103067485	0.13157880066963	0.0082922382495988	0.109037866583787	0.0343467155403973	0.0245798390478619	0.137828065344536	0.0411301350634219	0.0196880718967097	0.00032931449138068	0.00130353680154065
"10599"	0.268122184676968	0.00564044697115113	0.0383958350316815	0.163126752068482	0.0995537181724757	0.0101344417981857	0.125939977499093	0.0226804938836406	0.0321658416306091	0.117387149079791	0.0299918570354845	0.0633168003260977	0.000187198282845382	0.000474111444820568
"8836"	0.117728016675502	7.42755765242457e-05	0.00732899729315574	0.0543496383521144	0.0165125495564325	0.000360462783956743	0.0252680031207926	0.00345630171106231	0.00632981297707306	0.0105139918760356	0.0109497953252172	0.00790861751214147	3.62245388924928e-05	3.68191218009762e-05
"28234"	0.214579213543725	0.00492308493797294	0.0280587319865731	0.106157554946533	0.0648876406879794	0.0054769643989466	0.0819525147740368	0.0142865025780353	0.02516627671794	0.0645177296236629	0.0178228710301004	0.049570427190335	8.69562327449185e-05	0.000511976041913493
"7157"	0.177805456465637	0.0126220833370773	0.246327753652062	0.541113476126786	0.347525662545855	0.0374402062902305	0.439791622026685	0.189255402887917	0.24137094734072	0.255933286693871	0.252954773765773	0.0283536283808752	0.000749020752816172	0.00409524738365957
"5243"	0.221024599175563	0.00988752619116745	0.184353288092356	0.514549006851083	0.225860442646648	0.0463767272829683	0.39843289561051	0.0759223332196388	0.172318960963762	0.353662997137298	0.0948839935667468	0.199329222635629	0.000439346440284988	0.00184510310557941
"53919"	0.200381051500953	0.000678361923530747	0.0124539471241048	0.0680939657969968	0.0607490785418437	0.00197688320854802	0.0521210939737979	0.00877074532989686	0.0138724032732439	0.0405746459692659	0.0136021343257533	0.0173984406683886	0	0.000725623436484519
"5925"	0.105705762457503	0.00790153843460409	0.139533403543766	0.367581715003741	0.179864976464945	0.0175929250936896	0.276896656843723	0.0727320073694078	0.0632491800945716	0.321077615600687	0.19468011107277	0.0195782886329155	0.000183927893271198	0.00352195074088779
"5860"	0.196214390646286	0.000431499382945511	0.0086015330594618	0.0554176033534158	0.0288682473864731	0.00171024360142243	0.0296352497892506	0.0101334499145601	0.010027220989922	0.0304224070229031	0.00955003604433777	0.0058378756054689	2.15181296437409e-05	8.91377535484692e-05
"8714"	0.212549335973372	0.00447256316367348	0.0445859818561089	0.296752757269629	0.0766851507093556	0.0149902660124175	0.239109632055506	0.0226034413110224	0.0409567039639267	0.105581138637216	0.0403090484679776	0.129902903140414	0.000215783658019583	0.000998156371420061
"248"	0.0957945098031863	0.00203794501667602	0.0104904549880876	0.0512090801314965	0.139392420547784	0.00133852910727718	0.0363310281378729	0.00741615397050349	0.00842415686091915	0.0390900710898988	0.0180892246181162	0.00502720951294732	8.10348581411642e-05	0.000258454553645435
"213"	0.227780082845286	0.00705659208916384	0.0433573414126276	0.197366327056131	0.283989672567158	0.0149730192947527	0.15598374921557	0.0475170207645657	0.0398025607684845	0.159737356831234	0.0521946524378301	0.0370323126306549	0.000576330249802766	0.00315595854511083
"55867"	0.221716535365834	0.00252148531408729	0.0240063117081388	0.109501208592198	0.0814877035388519	0.0104268902282177	0.102520315410233	0.0238240608496799	0.0257478396519018	0.0638991247508163	0.0260063254101786	0.0253191437904153	0	0.00126139123801031
"54578"	0.141271745638889	0.00210284359567838	0.0399267796517789	0.133599912602042	0.0805950820684931	0.0120852266715133	0.169594359006883	0.0308229919794938	0.0364279640502232	0.0786586858683508	0.050183040476871	0.0326522556796007	3.48842980118218e-05	0.000525779464705498
"2348"	0.219218325046149	0.00266925925568707	0.0154300500329989	0.26855748850538	0.0217858550440454	0.00427847544374632	0.0664183125084444	0.00721071760327887	0.0105830082058417	0.025623377137113	0.0179413942169953	0.0106544206809924	0	0.000294093937552475
"6579"	0.180268667867314	0.00315470026558228	0.0354500801351622	0.151019986410261	0.10528356358266	0.00858855991030267	0.117256980284573	0.0265766393553894	0.0353760878527609	0.105123999094585	0.0315728364919143	0.0511813925543176	0.000118836963526922	0.00118565103894357
"3576"	0.155089331821829	0.0109245699531553	0.191492662235083	0.354208403224593	0.36296275964613	0.0271443370162795	0.329635153158705	0.0982711194175201	0.196587252706949	0.251069789705128	0.09915219534222	0.0244538844294278	0.00069602301901686	0.00304920847329141
"6573"	0.238251985043964	0.000659658492442967	0.0059242805890708	0.0780263299771543	0.0181214140632912	0.000142247172708874	0.0278691432431381	0.00383708251807051	0.00450223178325553	0.0209373032213877	0.0189357534657	0.00847542691931444	0.000118413301518022	9.86898070921172e-05
"6868"	0.403681799914621	0.00348224363336584	0.0124136178796762	0.0878918040361358	0.0358156359390096	0.00155063179869856	0.0843575760155579	0.0122687306302405	0.00853535573660066	0.0576531920269008	0.0165246777473116	0.00344526600423743	0.000905599243707544	0.00056441001087763
"353189"	0.141425266577789	0.00519438459373307	0.0208290268644644	0.0632280528785547	0.0604268307382239	0.00629618783027069	0.043720593421576	0.0114231095781855	0.0189139607356322	0.0567462055738248	0.0161112242784624	0.0141734030288576	0	0
"7298"	0.380132990107375	0.00099411052617031	0.0349302122005057	0.100501184450574	0.0394679697491555	0.0056718091160026	0.0764979854916991	0.0138581560445901	0.0270150449919986	0.0512895879032859	0.303375450319968	0.013873650990974	0.000151029173322162	0.000980259389804462
"28232"	0.168413792471193	0.000346910565563387	0.00933256926437461	0.0507286700418454	0.0414341433289622	0.000566524285818239	0.0344297690826732	0.0036855228591524	0.00983421190163609	0.0287470200639874	0.0115944740720417	0.0149683623454654	9.43681294002774e-05	0.000107107761851953
"9376"	0.250437012833218	0.00190056823193021	0.0228650492993033	0.113642390594176	0.0896815801206682	0.00879877284984509	0.0921638458158337	0.0256171620707849	0.023055330310262	0.0757960170472654	0.0239333353604143	0.0253237145216833	0	0.00128910087513431
"50616"	0.0786479529389046	0.00423375375564443	0.0163166148065677	0.0581705551693546	0.03921463593696	0.00173163587660334	0.0433350073926274	0.0121104703920375	0.0103568974535474	0.03771381482152	0.0148084665115396	0.0103662747249946	0.000318718746663206	0.000379496980704356
"23463"	0.123950522484816	0	0.0118352117513079	0.0326809896938585	0.0131511586766031	0.00119236800740104	0.0283137029405604	0.00202302481659314	0.00428118710499926	0.0233082061718659	0.0115018825191385	0.0115988597405202	0	0
"85320"	0.132136845888702	0.00232947421858845	0.0203547440568407	0.0929987048348268	0.0523893876232526	0.00165642131292261	0.0703088512007504	0.0433157464083115	0.0152119301982398	0.0551838644355573	0.0286509039140904	0.0135498196531101	0.000263005174620198	0.00136063557269585
"5524"	0.0671552166625119	0.00981387847501551	0.0216383025313564	0.111415657791062	0.082766962295776	0.00499649492189283	0.0618034327682904	0.0207087597962785	0.0210212532192021	0.218846259521108	0.0228180000717203	0.00549225271421152	0.000278791980600237	0.000826396344949435
"2356"	0.280082494214739	0.000977502026450319	0.0101742739851173	0.0684176842650091	0.0133682100642311	0.00053810468179277	0.0269569540191533	0.00509155181852513	0.00539227722326911	0.0301317498959869	0.0275647573734317	0.00474839480506564	8.35794564629363e-05	0.000345500421189477
"4194"	0.168336163819019	0.00896062639797088	0.0345271997906073	0.333677863550297	0.0488862329406541	0.00874251762756143	0.113403225225796	0.0182114828999745	0.0289370075734393	0.0590570506930699	0.0207167899243841	0.00589386445711373	0.000290819422330348	0.00047686368492358
"142"	0.178014394115554	0.0163653465007645	0.262544405619474	0.587540547346188	0.368258405933232	0.0603947318830512	0.464774127150624	0.222275611385247	0.283596752064571	0.270571659533353	0.277460856947536	0.0245405574792463	0.0014599871730825	0.00339037649270668
"356"	0.114501639631854	0.00844416541397906	0.135097697178684	0.35456653583939	0.16816944943589	0.0221070806228728	0.261841089055879	0.0481196834694494	0.058204924293867	0.181521499296775	0.0794519267242655	0.0265512272305916	0.000134282142923729	0.00144200127079154
"6885"	0.0457204646227946	0.00683977077353401	0.0122783054565781	0.0625927632944553	0.0260349143125351	0.00112404900814616	0.0383637709532182	0.0155251290621257	0.00777920887315052	0.062723825099749	0.00930151426611403	0.00422234323349717	4.79156965450142e-05	0.000702825275957667
"6566"	0.131082548611267	0.00131629679262345	0.0113967763015051	0.0563178768842554	0.0446539673980012	0.00184811963229907	0.0338224641683833	0.0104463321349698	0.0130355641752577	0.0450807463552418	0.0117829768797914	0.0100889034214216	0	0.000728006869320256
"10864"	0.187356384254354	0.00187993427909761	0.0302920716265142	0.115300924372935	0.0811005638288066	0.00728952635778703	0.108162118294188	0.021430000379729	0.0242855607275461	0.0721085484935348	0.0316691729030873	0.0251094179785312	0	0.00157029612620364
"1244"	0.223067036308794	0.00757621370413146	0.0637401389178954	0.365471958448756	0.146586667658835	0.0222237429702085	0.288446511753896	0.0428998307400743	0.0663884408296534	0.158044731634223	0.067159830876528	0.147891896242231	9.59066523177828e-05	0.00111553618884307
"8202"	0.090318237737077	0.0025434745592918	0.0149388938389822	0.0764606606994732	0.0603538760178679	0.0029374560729266	0.117493799079323	0.0109218021245442	0.0121680080314081	0.0632777521834029	0.0232891779057087	0.00679785891707445	0.000137583787494183	0.0011015496394715
"4143"	0.139931735635557	0.00126752137939349	0.00642364964625828	0.0630737478470287	0.0343764131791594	0.00185957104882626	0.026024912681433	0.00787505431974339	0.00736407218423754	0.0338485751074806	0.0229977712255201	0.0054408150803198	0.000720883021573298	0.000201550688267362
"84890"	0.113356686995862	0.000745065890575933	0.0101785816873907	0.0470264952425087	0.0306665278324641	0.00132328087138484	0.0316022858704358	0.0077727390747286	0.00665797928283539	0.0243687990433743	0.00767107581120922	0.00984812442903823	0.00140593729254979	0
"316"	0.185266780245931	0.00241229584819494	0.0187073463878541	0.0921327700246622	0.0624570353766661	0.00811809445159369	0.0549983811809837	0.0124712591774587	0.0299558754260399	0.0585635088188513	0.016836275264647	0.0133253934432084	0.000156130294281768	9.67593492913663e-05
"4524"	0.210470263404058	0.000385748506039884	0.0160522342686228	0.113835650076648	0.02885300444123	0.00158251808376658	0.0403889293472001	0.00811335671859985	0.0111813391050697	0.0298851360035575	0.0249912172987796	0.00819626393746692	1.6940910120446e-05	0.000252871877820116
"10257"	0.212571138979633	0.00419623235484377	0.0371424782525454	0.167570910834311	0.0938752163279126	0.00926970102545724	0.121781422532392	0.0281920092790438	0.0314381817811606	0.0948218984980054	0.0341724180914164	0.0444783209643462	0.000623412673552349	0.00141640761598267
"9356"	0.297714838233379	0.00242583644036123	0.0291597124262553	0.132102318496184	0.0948358663565537	0.0282352650431887	0.137384366646736	0.0255200775042339	0.0336777812368451	0.0724225099713479	0.0289162910055041	0.0383931339252651	1.62249579265881e-05	0.00163649477896716
"5111"	0.0789948846592101	0.0078584166678775	0.0515688433085689	0.239807830137012	0.114923854880165	0.0100961736072939	0.127647313892978	0.032643759739704	0.0352380479078245	0.235349943416587	0.0557263117558765	0.0161120924335802	0.000369245926330754	0.00207836068093563
"4363"	0.202483255837363	0.00878929807886741	0.0903439172959593	0.423904470104636	0.112441468139417	0.0277014955375852	0.342469764428201	0.0492218603925422	0.177778999383523	0.137149696144533	0.0622721470612511	0.158023916066442	0.00104222578857068	0.000797627528507859
"113235"	0.16117143489137	0.000396124135880259	0.0177687853758044	0.0728620513669395	0.0370465149595025	0.00237390274445688	0.0438207399936895	0.00854005896213566	0.0172548301394505	0.0356149655543312	0.0287677576954091	0.00996047788488649	2.61626112486344e-05	0.000108481445099712
"5880"	0.0137695084011775	0.142952893076197	0.0227460274487515	0.106625805672531	0.0849184514073166	0.00524614282465781	0.0594551317469625	0.023440963422056	0.0189329191354384	0.183382832431584	0.0189163760058368	0.00372341886546556	0.00135070027885606	0.00346641528851354
